<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;10;28/05/20;10:00;1218.9400000;1223.1400000;1217.8500000;1220.9900000;73181036
RTSI;10;28/05/20;10:10;1220.9100000;1220.9100000;1211.8500000;1213.8700000;36305225
RTSI;10;28/05/20;10:20;1213.8600000;1218.4600000;1213.0000000;1218.4600000;28146994
RTSI;10;28/05/20;10:30;1218.4100000;1219.8700000;1216.9900000;1218.5000000;21870224
RTSI;10;28/05/20;10:40;1218.4300000;1223.9400000;1218.3900000;1222.8400000;35639036
RTSI;10;28/05/20;10:50;1222.7800000;1224.3300000;1220.6000000;1222.1900000;29711162
RTSI;10;28/05/20;11:00;1222.2500000;1223.5300000;1221.2200000;1222.0700000;21908033
RTSI;10;28/05/20;11:10;1222.1900000;1226.1800000;1222.0100000;1224.0800000;35174777
RTSI;10;28/05/20;11:20;1224.0900000;1224.7700000;1221.3300000;1222.9100000;24005297
RTSI;10;28/05/20;11:30;1222.8900000;1224.3900000;1220.5500000;1224.2100000;22718739
RTSI;10;28/05/20;11:40;1224.2400000;1225.7300000;1223.2400000;1223.2900000;27996806
RTSI;10;28/05/20;11:50;1223.2600000;1224.5300000;1222.3300000;1224.4800000;16572030
RTSI;10;28/05/20;12:00;1224.4900000;1227.4400000;1222.9000000;1226.7000000;22163553
RTSI;10;28/05/20;12:10;1226.6800000;1231.6000000;1226.4700000;1230.1600000;31244237
RTSI;10;28/05/20;12:20;1230.2100000;1231.3700000;1229.4100000;1230.9500000;18509936
RTSI;10;28/05/20;12:30;1230.9400000;1234.8900000;1230.8700000;1233.3000000;28398245
RTSI;10;28/05/20;12:40;1233.2600000;1233.3100000;1229.1800000;1229.1800000;10809743
RTSI;10;28/05/20;12:50;1229.1400000;1229.2000000;1224.8500000;1227.9700000;23668344
RTSI;10;28/05/20;13:00;1228.0600000;1229.9300000;1227.5800000;1229.2700000;13065438
RTSI;10;28/05/20;13:10;1229.2700000;1229.3300000;1225.5200000;1225.8900000;10508881
RTSI;10;28/05/20;13:20;1225.9400000;1229.6700000;1224.8200000;1229.3400000;16942067
RTSI;10;28/05/20;13:30;1229.4300000;1230.2300000;1228.4900000;1228.9500000;12663436
RTSI;10;28/05/20;13:40;1228.9600000;1231.5300000;1228.3800000;1231.0700000;24741940
RTSI;10;28/05/20;13:50;1231.0300000;1231.1900000;1229.9900000;1230.3200000;9834728
RTSI;10;28/05/20;14:00;1230.3500000;1234.5500000;1230.0600000;1233.5500000;17146170
RTSI;10;28/05/20;14:10;1233.6000000;1233.9000000;1232.2100000;1232.4300000;13063997
RTSI;10;28/05/20;14:20;1232.4500000;1234.7300000;1232.4200000;1233.8700000;11706761
RTSI;10;28/05/20;14:30;1233.8200000;1237.5400000;1233.0300000;1237.1200000;16013236
RTSI;10;28/05/20;14:40;1237.0900000;1238.6400000;1236.4700000;1236.7900000;17499440
RTSI;10;28/05/20;14:50;1236.7800000;1238.2800000;1235.8700000;1235.9700000;16656670
RTSI;10;28/05/20;15:00;1235.9600000;1236.4400000;1234.3100000;1235.2400000;16805903
RTSI;10;28/05/20;15:10;1235.2700000;1236.4800000;1234.9800000;1235.1400000;11872947
RTSI;10;28/05/20;15:20;1235.1200000;1235.1200000;1233.2400000;1233.9500000;12299802
RTSI;10;28/05/20;15:30;1233.9700000;1235.5100000;1232.9400000;1233.5100000;14427225
RTSI;10;28/05/20;15:40;1233.5600000;1236.5200000;1233.5100000;1235.8800000;9773328
RTSI;10;28/05/20;15:50;1235.9700000;1237.0200000;1235.4600000;1235.5600000;12650874
RTSI;10;28/05/20;16:00;1235.5300000;1239.2200000;1234.9600000;1235.1100000;28622333
RTSI;10;28/05/20;16:10;1235.1100000;1236.0200000;1234.4600000;1234.9200000;15742773
RTSI;10;28/05/20;16:20;1234.9100000;1235.4900000;1233.2900000;1234.2700000;19894507
RTSI;10;28/05/20;16:30;1234.3400000;1234.3400000;1228.8000000;1228.8600000;36764490
RTSI;10;28/05/20;16:40;1228.8400000;1231.4400000;1228.5000000;1230.2200000;20777656
RTSI;10;28/05/20;16:50;1230.2100000;1232.5300000;1230.0100000;1231.0900000;16653660
RTSI;10;28/05/20;17:00;1231.1600000;1231.4400000;1228.1700000;1231.1800000;23044062
RTSI;10;28/05/20;17:10;1231.2100000;1232.9300000;1230.1900000;1230.7100000;19539374
RTSI;10;28/05/20;17:20;1230.7400000;1231.8100000;1229.5300000;1231.0700000;16428384
RTSI;10;28/05/20;17:30;1231.0700000;1233.7200000;1230.0600000;1233.5900000;17015865
RTSI;10;28/05/20;17:40;1233.5800000;1236.3700000;1233.5800000;1235.6700000;28856213
RTSI;10;28/05/20;17:50;1235.7200000;1237.0800000;1234.0400000;1236.8000000;21692740
RTSI;10;28/05/20;18:00;1236.8200000;1238.5600000;1233.5900000;1236.5200000;30396373
RTSI;10;28/05/20;18:10;1236.6100000;1237.6100000;1235.1800000;1237.6100000;23706387
RTSI;10;28/05/20;18:20;1237.5800000;1237.5800000;1235.1100000;1237.4800000;25054152
RTSI;10;28/05/20;18:30;1237.5400000;1239.6100000;1236.8500000;1239.4100000;33811694
RTSI;10;28/05/20;18:40;1239.4100000;1239.4100000;1239.4100000;1239.4100000;0
RTSI;10;28/05/20;18:50;1241.7700000;1241.7700000;1241.7700000;1241.7700000;35310131
RTSI;10;29/05/20;10:00;1232.9500000;1234.7200000;1227.4000000;1230.8800000;70655778
RTSI;10;29/05/20;10:10;1230.8600000;1232.5700000;1226.9000000;1229.6600000;39748337
RTSI;10;29/05/20;10:20;1229.6700000;1231.4400000;1228.3100000;1228.8800000;26229596
RTSI;10;29/05/20;10:30;1228.9700000;1229.0100000;1219.1500000;1219.5900000;52561471
RTSI;10;29/05/20;10:40;1219.6900000;1220.9000000;1216.9700000;1216.9800000;38718228
RTSI;10;29/05/20;10:50;1217.0300000;1218.4200000;1214.7300000;1214.8400000;38772351
RTSI;10;29/05/20;11:00;1214.8200000;1216.3600000;1212.1700000;1215.9200000;44952837
RTSI;10;29/05/20;11:10;1216.0000000;1219.3500000;1215.2500000;1216.8000000;28182939
RTSI;10;29/05/20;11:20;1216.9600000;1217.9800000;1214.8700000;1217.7800000;24970506
RTSI;10;29/05/20;11:30;1217.7500000;1218.9900000;1216.7000000;1218.6600000;16566129
RTSI;10;29/05/20;11:40;1218.7000000;1219.9100000;1216.8600000;1217.0300000;16266916
RTSI;10;29/05/20;11:50;1217.0400000;1217.3600000;1215.4000000;1215.6200000;14908019
RTSI;10;29/05/20;12:00;1215.6100000;1217.0800000;1214.1100000;1217.0800000;17945832
RTSI;10;29/05/20;12:10;1217.1100000;1221.8600000;1217.0700000;1221.6000000;21160669
RTSI;10;29/05/20;12:20;1221.6500000;1221.6500000;1218.9300000;1220.1900000;12918629
RTSI;10;29/05/20;12:30;1220.1900000;1220.6100000;1218.2600000;1220.5800000;15359501
RTSI;10;29/05/20;12:40;1220.8200000;1221.6300000;1219.2800000;1219.3300000;12868725
RTSI;10;29/05/20;12:50;1219.3300000;1222.7300000;1218.7200000;1222.6900000;16093635
RTSI;10;29/05/20;13:00;1222.7000000;1225.4700000;1222.4700000;1225.2600000;16424891
RTSI;10;29/05/20;13:10;1225.2900000;1225.4300000;1222.5300000;1222.8500000;13637937
RTSI;10;29/05/20;13:20;1222.7900000;1222.7900000;1220.7100000;1221.5800000;16133861
RTSI;10;29/05/20;13:30;1221.5800000;1221.7700000;1218.5000000;1218.6300000;20158101
RTSI;10;29/05/20;13:40;1218.5800000;1218.5800000;1216.5600000;1217.4100000;22559585
RTSI;10;29/05/20;13:50;1217.4500000;1217.7100000;1216.4800000;1217.0900000;10933655
RTSI;10;29/05/20;14:00;1217.0900000;1218.8300000;1217.0100000;1218.1300000;15310479
RTSI;10;29/05/20;14:10;1218.0900000;1218.7000000;1214.4600000;1218.6900000;25929369
RTSI;10;29/05/20;14:20;1218.7500000;1221.0200000;1218.7500000;1221.0200000;18159541
RTSI;10;29/05/20;14:30;1221.0000000;1221.3600000;1218.3400000;1218.4200000;10922834
RTSI;10;29/05/20;14:40;1218.4200000;1223.4900000;1218.0400000;1223.3400000;18344479
RTSI;10;29/05/20;14:50;1223.3300000;1223.3900000;1221.6600000;1221.8400000;12941400
RTSI;10;29/05/20;15:00;1221.8300000;1227.3100000;1221.1400000;1227.0600000;26175714
RTSI;10;29/05/20;15:10;1226.9900000;1227.5100000;1224.9300000;1224.9900000;18415509
RTSI;10;29/05/20;15:20;1225.0400000;1225.9200000;1224.4100000;1225.0300000;16816678
RTSI;10;29/05/20;15:30;1225.0000000;1225.0100000;1221.1400000;1222.4900000;17049406
RTSI;10;29/05/20;15:40;1222.5300000;1222.6000000;1219.8600000;1219.9100000;17590205
RTSI;10;29/05/20;15:50;1219.8900000;1222.7000000;1218.8300000;1218.8700000;16828145
RTSI;10;29/05/20;16:00;1218.8800000;1218.9200000;1216.9100000;1218.0200000;21150660
RTSI;10;29/05/20;16:10;1218.0100000;1218.2900000;1216.3300000;1217.5200000;15581214
RTSI;10;29/05/20;16:20;1217.5400000;1217.7000000;1212.7300000;1213.3800000;26488199
RTSI;10;29/05/20;16:30;1213.4200000;1215.3800000;1210.0700000;1215.2100000;36459904
RTSI;10;29/05/20;16:40;1215.1900000;1216.8700000;1212.9500000;1214.7800000;19879490
RTSI;10;29/05/20;16:50;1214.7400000;1216.1700000;1214.1000000;1214.8300000;23639251
RTSI;10;29/05/20;17:00;1214.8900000;1215.0900000;1212.5200000;1212.9400000;27246650
RTSI;10;29/05/20;17:10;1213.1500000;1220.0700000;1213.1500000;1219.8000000;32468773
RTSI;10;29/05/20;17:20;1219.8700000;1220.2300000;1217.0500000;1217.2700000;31390964
